City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,charef,34.621,2.795,73.81,29,30,6.33,DZ,1690335573
212,uturoa,-16.7333,-151.4333,80.24,81,18,15.17,PF,1690335573
213,alesund,62.4723,6.1549,59.76,93,100,11.5,NO,1690335573
214,atherton,53.5237,-2.4935,57.42,84,19,3.24,GB,1690335573
215,portland,45.5234,-122.6762,80.58,44,20,9.22,US,1690335279
216,vila velha,-20.3297,-40.2925,69.75,98,100,0.0,BR,1690335337
217,ketchikan,55.3422,-131.6461,66.67,68,40,9.22,US,1690335574
218,holualoa,19.6228,-155.9522,79.56,82,100,6.91,US,1690335283
219,tallulah,32.4085,-91.1868,82.45,49,0,3.18,US,1690335574
220,hithadhoo,-0.6,73.0833,82.62,79,100,15.37,MV,1690335574
221,haapajarvi,63.75,25.3333,54.45,91,96,2.48,FI,1690335574
222,geraldton,-28.7667,114.6,57.61,88,75,13.8,AU,1690335574
223,schonungen,50.0501,10.3081,56.28,89,99,5.26,DE,1690335385
224,nuku'alofa,-21.1333,-175.2,71.94,78,75,6.91,TO,1690335575
225,gamba,-2.65,10.0,69.4,96,25,4.0,GA,1690335575
226,registro,-24.4875,-47.8436,62.44,80,1,1.36,BR,1690335575
227,chinchilla,-26.75,150.6333,67.35,38,0,11.86,AU,1690335575
228,lagunas,-5.2269,-75.6753,77.56,70,50,2.42,PE,1690335575
229,urumqi,43.801,87.6005,83.35,23,0,4.47,CN,1690335575
230,lensk,60.7253,114.9278,84.43,40,76,4.85,RU,1690335576
231,as samawah,31.332,45.2944,96.57,13,0,5.75,IQ,1690335576
232,buka,40.8108,69.1986,84.63,17,0,7.67,UZ,1690335576
233,amga,60.8953,131.9608,77.74,34,4,7.81,RU,1690335576
234,longyearbyen,78.2186,15.6401,51.64,54,0,11.5,SJ,1690335397
235,funafuti,-8.5243,179.1942,87.8,84,75,12.66,TV,1690335576
236,winnemucca,40.973,-117.7357,96.85,4,0,14.97,US,1690335576
237,manokwari,-0.8667,134.0833,82.85,73,31,3.67,ID,1690335577
238,tual,-5.6667,132.75,77.76,80,100,18.97,ID,1690335577
239,naze,28.3667,129.4833,85.12,83,33,14.45,JP,1690335577
240,najaf,31.9985,44.3398,87.58,27,0,5.75,IQ,1690335577
241,mola di bari,41.0609,17.0873,84.52,56,3,13.35,IT,1690335577
242,shetpe,44.1667,52.1167,69.82,81,98,13.29,KZ,1690335577
243,thompson,55.7435,-97.8558,69.96,46,40,9.22,CA,1690335577
244,gaalkacyo,6.7697,47.4308,73.47,73,9,21.74,SO,1690335578
245,saipan,15.1355,145.701,84.65,100,75,11.5,MP,1690335578
246,langepas,61.2544,75.2124,65.3,78,9,2.93,RU,1690335578
247,thunder bay,48.4001,-89.3168,71.58,68,100,6.91,CA,1690335578
248,crane,31.3974,-102.3501,90.14,25,88,13.33,US,1690335578
249,neiafu,-18.65,-173.9833,77.68,61,75,2.3,TO,1690335578
250,dudinka,69.4058,86.1778,64.33,55,0,11.12,RU,1690335556
251,katsuura,35.1333,140.3,84.43,71,60,5.41,JP,1690335579
252,la passe,45.5549,-0.8967,60.98,80,78,5.03,FR,1690335579
253,kapuskasing,49.4169,-82.4331,73.49,53,75,6.91,CA,1690335579
254,nar'yan-mar,67.6713,53.087,62.65,74,51,3.85,RU,1690335579
255,makoua,0.0069,15.6333,73.96,85,97,2.64,CG,1690335579
256,kone,-21.0595,164.8658,75.6,41,0,15.03,NC,1690335579
257,la'ie,21.6477,-157.9253,87.76,74,21,14.92,US,1690335580
258,vladimir,56.1366,40.3966,59.7,98,79,5.75,RU,1690335580
259,de aar,-30.6497,24.0123,51.94,39,74,8.05,ZA,1690335580
260,hadibu,12.65,54.0333,76.82,79,68,29.28,YE,1690335580
261,campanario,38.8644,-5.6174,68.58,26,0,2.13,ES,1690335580
262,utrik,11.2278,169.8474,83.5,79,85,17.67,MH,1690335580
263,sainte-anne-des-monts,49.124,-66.4924,66.07,82,89,6.91,CA,1690335580
264,edd,13.9297,41.6925,94.82,45,100,4.88,ER,1690335581
265,east london,-33.0153,27.9116,58.5,27,41,6.58,ZA,1690335581
266,taulaga,-11.0553,-171.0883,81.93,70,1,15.35,AS,1690335581
267,shahrak,34.1074,64.3052,66.25,31,41,2.53,AF,1690335581
268,tangzhai,34.4328,116.5911,87.33,71,22,8.86,CN,1690335581
269,ola,59.5833,151.2833,77.14,84,99,8.14,RU,1690335581
270,paita,-5.0892,-81.1144,70.86,80,76,15.66,PE,1690335581
271,celestun,20.8667,-90.4,82.35,79,45,18.5,MX,1690335582
272,serdar,38.9764,56.2757,78.78,73,2,19.66,TM,1690335582
273,kingston,17.997,-76.7936,86.95,79,20,5.75,JM,1690335577
274,island harbour,50.724,-1.2758,56.93,90,14,1.01,GB,1690335582
275,tsiombe,-25.3,45.4833,61.48,64,52,7.36,MG,1690335308
276,cuatro cienegas de carranza,26.9833,-102.0833,89.56,29,0,17.25,MX,1690335582
277,puerto deseado,-47.7503,-65.8938,35.89,93,100,25.59,AR,1690335582
278,owase,34.0667,136.2,89.06,62,91,4.76,JP,1690335582
279,kushiro,42.975,144.3747,86.95,66,20,11.5,JP,1690335583
280,mutoko,-17.397,32.2268,48.54,93,41,2.39,ZW,1690335583
281,emerald,-23.5333,148.1667,69.35,49,0,18.97,AU,1690335583
282,chauk,20.8833,94.8167,85.17,68,80,14.36,MM,1690335583
283,plastun,44.7561,136.2939,86.02,55,55,6.17,RU,1690335583
284,shankargarh,25.1833,81.6167,90.9,52,84,10.71,IN,1690335583
285,saint joseph,39.7686,-94.8466,83.8,75,0,8.05,US,1690335238
286,puerto baquerizo moreno,-0.9,-89.6,77.16,81,95,10.8,EC,1690335584
287,sanctuary point,-35.1114,150.629,69.33,36,0,3.11,AU,1690335584
288,olyokminsk,60.3736,120.4264,83.46,44,7,4.59,RU,1690335584
289,slave lake,55.2834,-114.769,58.98,67,100,17.27,CA,1690335350
290,sale,34.0389,-6.8166,69.75,88,75,0.0,MA,1690335584
291,kafue,-15.7691,28.1814,56.12,60,1,8.48,ZM,1690335584
292,loreto,22.2667,-101.9667,64.54,69,100,15.52,MX,1690335585
293,gaiman,-43.2897,-65.4929,43.36,78,26,13.56,AR,1690335585
294,touros,-5.1989,-35.4608,72.99,85,26,12.39,BR,1690335585
295,shimoda,34.6667,138.95,92.1,64,44,2.48,JP,1690335585
296,baise city,23.8997,106.6133,87.64,72,76,0.27,CN,1690335585
297,qarazhal,48.0078,70.7903,80.28,29,8,7.09,KZ,1690335585
298,arraial do cabo,-22.9661,-42.0278,70.52,92,1,23.22,BR,1690335539
299,chonchi,-42.6128,-73.8092,45.12,94,45,3.44,CL,1690335586
300,amahai,-3.3333,128.9167,78.48,81,99,9.98,ID,1690335586
301,alo,7.4178,6.7371,74.35,96,100,2.35,NG,1690335586
302,gao,16.6362,1.637,91.71,38,66,12.48,ML,1690335586
303,betio village,1.358,172.9211,80.64,74,100,7.18,KI,1690335587
304,mangrol,21.1167,70.1167,81.18,87,98,14.7,IN,1690335587
305,broken hill,-31.95,141.4333,61.2,38,0,8.08,AU,1690335587
306,luderitz,-26.6481,15.1594,55.78,73,97,2.73,NA,1690335588
307,bethanie,-26.4833,17.15,54.64,32,43,10.0,NA,1690335588
308,nirmal,19.1,78.35,75.88,92,100,12.48,IN,1690335588
309,jumla,29.2747,82.1838,64.96,89,100,1.88,NP,1690335544
310,ust-tsilma,65.441,52.1498,57.76,91,31,2.73,RU,1690335589
311,idritsa,56.3316,28.8988,56.12,98,100,3.44,RU,1690335589
312,jieshi,22.8134,115.8257,87.26,70,79,6.73,CN,1690335589
313,odobesti,45.7667,27.05,69.13,60,50,0.47,RO,1690335589
314,san pedro,14.35,121.0167,84.31,85,100,18.41,PH,1690335590
315,las palmas de gran canaria,28.0997,-15.4134,73.53,75,75,23.02,ES,1690335383
316,kavieng,-2.5744,150.7967,82.47,77,100,11.99,PG,1690335590
317,atlantic beach,30.3344,-81.3987,82.42,78,75,0.0,US,1690335591
318,vidyayevo,69.3191,32.8049,49.86,96,94,4.41,RU,1690335591
319,yonggang-up,38.8561,125.4244,79.56,83,100,9.31,KP,1690335591
320,taupo,-38.6833,176.0833,47.26,56,67,12.84,NZ,1690335591
321,az zuwaytinah,30.9522,20.1202,82.6,59,0,7.58,LY,1690335592
322,revda,56.801,59.9303,61.12,71,100,3.69,RU,1690335592
323,benguela,-12.5763,13.4055,68.22,86,42,5.73,AO,1690335380
324,rouached,36.4577,6.0427,72.5,85,97,3.13,DZ,1690335592
325,kerman,30.2832,57.0788,64.26,24,0,4.61,IR,1690335593
326,cuyamel,15.6667,-88.2,84.36,88,18,5.28,HN,1690335593
327,cefalu,38.0386,14.0229,81.75,80,90,1.99,IT,1690335593
328,bouake,7.6895,-5.0218,73.51,100,82,4.61,CI,1690335593
329,whakatane,-37.9585,176.9854,57.88,63,99,11.99,NZ,1690335593
330,inirida,3.8653,-67.9239,72.03,99,98,1.45,CO,1690335594
331,karatuzskoye,53.6072,92.8667,65.32,82,100,4.07,RU,1690335594
332,visakhapatnam,17.69,83.2093,78.69,100,100,2.3,IN,1690335594
333,port hedland,-20.3167,118.5667,69.85,30,4,12.66,AU,1690335594
334,minas de marcona,-15.2119,-75.1103,53.69,89,39,13.31,PE,1690335594
335,ust-nera,64.5667,143.2,68.56,51,54,3.44,RU,1690335594
336,el calafate,-50.3408,-72.2768,22.68,62,5,5.59,AR,1690335595
337,alofi,-19.0595,-169.9187,75.09,64,40,5.75,NU,1690335595
338,arkalyk,50.2486,66.9114,71.94,47,100,14.23,KZ,1690335595
339,camacupa,-12.0167,17.4833,55.92,38,2,3.74,AO,1690335595
340,bel ombre,-4.6167,55.4167,78.64,83,40,17.27,SC,1690335595
341,fortuna,40.5982,-124.1573,66.54,77,20,14.97,US,1690335595
342,mejit,10.2753,170.8646,83.23,80,100,18.14,MH,1690335595
343,wewak,-3.5534,143.6268,81.54,76,70,9.1,PG,1690335596
344,abashiri,44.0213,144.2697,86.29,66,20,2.3,JP,1690335596
345,mosjoen,65.836,13.1908,57.72,82,100,0.0,NO,1690335596
346,labytnangi,66.6572,66.4183,65.07,63,100,14.14,RU,1690335596
347,coalinga,36.1397,-120.3602,98.85,21,0,3.71,US,1690335597
348,suva,-18.1416,178.4415,76.48,65,75,6.91,FJ,1690335597
349,antalaha,-14.9003,50.2788,66.51,87,13,6.35,MG,1690335597
350,vikulovo,56.8167,70.6107,65.21,73,2,6.8,RU,1690335597
351,katabu,-4.9333,122.5167,83.84,57,14,7.07,ID,1690335597
352,nur-sultan,51.1801,71.446,60.75,59,0,4.47,KZ,1690335318
353,husainabad,24.5333,84.0167,87.26,65,17,7.76,IN,1690335597
354,emmett,43.8735,-116.4993,94.06,21,1,1.01,US,1690335598
355,ujae,8.9322,165.7642,82.71,80,100,16.46,MH,1690335598
356,farkhar,36.5729,69.8578,84.11,25,46,2.89,AF,1690335598
357,hailey,43.5196,-114.3153,80.46,19,0,9.22,US,1690335598
358,ati,13.2154,18.3353,87.51,43,91,9.44,TD,1690335598
359,loen,7.7601,168.2307,83.19,77,100,12.82,MH,1690335598
360,magadan,59.5667,150.8,76.53,84,100,6.06,RU,1690335598
361,rio grande,-32.035,-52.0986,59.95,99,100,11.21,BR,1690335580
362,haiku-pauwela,20.9219,-156.3051,84.22,64,20,28.77,US,1690335599
363,akonolinga,3.7667,12.25,68.9,99,100,1.95,CM,1690335599
364,atbasar,51.8,68.3333,69.26,58,100,16.62,KZ,1690335599
365,dhidhdhoo,6.8833,73.1,81.12,81,100,8.12,MV,1690335599
